Year,Region,Model,Unit_Sold,Price_USD,Revenue,Sales_Classification
2021,Middle East,3 Series,1683,80750,135902250,Low
2019,North America,X1,4999,95066,475234934,Low
2018,Middle East,X3,3274,54128,177215072,Low
2020,South America,5 Series,9637,102829,990963073,High
2024,Asia,7 Series,3842,112216,431133872,Low
2021,Middle East,7 Series,4832,38148,184331136,Low
2021,Europe,X6,6294,92612,582899928,Low
2018,Africa,M3,1837,66563,122276231,Low
2012,Middle East,3 Series,1170,38809,45406530,Low
2015,South America,M5,5723,86162,493105126,Low
2016,Europe,X3,6346,113190,718303740,Low
2023,Africa,X5,9910,67589,669806990,High
2019,Africa,3 Series,8580,56785,487215300,High
2018,Africa,5 Series,2641,37209,98268969,Low
2024,South America,X6,5677,72469,411406513,Low
2011,Middle East,7 Series,6186,35933,222281538,Low
2017,Africa,3 Series,1483,117034,173561422,Low
2023,Africa,X5,2605,61132,159248860,Low
2016,Middle East,i3,539,95875,51676625,Low
2013,Europe,X3,9898,34377,340263546,High
2011,Asia,7 Series,2797,49358,138054326,Low
2017,Asia,5 Series,580,44788,25977040,Low
2020,Europe,7 Series,751,77333,58077083,Low
2014,South America,M3,6987,106456,743808072,Low
2015,Europe,M3,3669,47475,174185775,Low
2023,North America,3 Series,1910,31957,61037870,Low
2020,Africa,M3,4808,96938,466077904,Low
2016,South America,X3,7433,98389,731325437,High
2024,North America,i8,8367,30072,251612424,High
2024,South America,7 Series,1368,100115,136957320,Low
2019,Middle East,M3,9142,106705,975497110,High
2010,Africa,5 Series,5860,68168,399464480,Low
2017,South America,i3,4838,81667,395104946,Low
2013,Africa,i3,5728,34378,196917184,Low
2022,North America,3 Series,1594,73745,117549530,Low
2018,Middle East,3 Series,8725,111645,974102625,High
2010,Africa,X6,269,65410,17595290,Low
2020,South America,5 Series,1344,33381,44864064,Low
2011,Europe,X1,191,105257,20104087,Low
2023,South America,X3,9711,94107,913873077,High
2015,South America,i3,278,116904,32499312,Low
2020,Europe,X6,8548,72809,622371332,High
2019,Middle East,i3,4559,99979,455804261,Low
2020,Europe,X3,4385,58648,257171480,Low
2023,Asia,M3,9790,73157,716207030,High
2010,Africa,3 Series,8072,108310,874278320,High
2013,North America,X3,3322,94874,315171428,Low
2017,South America,X1,5191,106067,550593797,Low
2024,Asia,5 Series,4886,78912,385564032,Low
2019,Middle East,i8,6074,73804,448285496,Low
2014,North America,X5,4878,81404,397088712,Low
2022,Europe,X5,3101,61588,190984388,Low
2018,Europe,X3,243,101013,24546159,Low
2020,North America,M3,4838,88221,426813198,Low
2020,Africa,X6,5490,31154,171035460,Low
2015,Africa,7 Series,4131,56734,234368154,Low
2010,South America,X5,7916,113300,896882800,High
2015,North America,X5,1942,34431,66865002,Low
2015,Europe,7 Series,8414,71304,599951856,High
2022,North America,i3,6320,82817,523403440,Low
2015,Africa,3 Series,1204,104762,126133448,Low
2017,Africa,M5,3562,47026,167506612,Low
2024,Asia,X1,8393,57556,483067508,High
2015,Asia,X5,9238,80359,742356442,High
2014,South America,M3,8451,88910,751378410,High
2024,North America,M5,721,104071,75035191,Low
2020,Europe,i3,2266,65324,148024184,Low
2011,Europe,7 Series,8476,74846,634394696,High
2013,Africa,i8,3293,87787,289082591,Low
2023,South America,7 Series,1595,64648,103113560,Low
2024,Europe,M3,3215,95687,307633705,Low
2019,Asia,X5,9424,64615,608931760,High
2014,Africa,3 Series,3700,91214,337491800,Low
2019,North America,X6,6406,90444,579384264,Low
2013,North America,3 Series,1053,57729,60788637,Low
2011,Middle East,i8,6768,52346,354277728,Low
2016,Middle East,X1,2164,44427,96140028,Low
2019,North America,7 Series,4734,42779,202515786,Low
2019,Asia,3 Series,7389,109937,812324493,High
2011,South America,5 Series,6123,118708,726849084,Low
2010,Europe,M5,3086,58964,181962904,Low
2023,Asia,7 Series,8356,34949,292033844,High
2014,South America,7 Series,3464,93679,324504056,Low
2021,Middle East,i3,237,63812,15123444,Low
2022,Europe,7 Series,701,72993,51168093,Low
2010,Africa,X5,4979,82054,408546866,Low
2010,Middle East,5 Series,7019,51738,363149022,High
2024,South America,X1,1795,78098,140185910,Low
2010,South America,X5,2259,75033,169499547,Low
2015,Europe,X3,6177,67094,414439638,Low
2018,Asia,i3,6537,41030,268213110,Low
2019,South America,X5,9311,86133,801984363,High
2022,Asia,X5,2111,99452,209943172,Low
2020,Europe,i3,4668,108126,504732168,Low
2021,Europe,X1,2230,102811,229268530,Low
2010,Asia,X3,7513,90016,676290208,High
2014,South America,M3,6584,86174,567369616,Low
2024,Asia,7 Series,5432,49000,266168000,Low
2018,Asia,5 Series,3805,89821,341768905,Low
2023,Europe,5 Series,8236,92337,760487532,High
2018,South America,3 Series,8645,37658,325553410,High
2010,North America,X6,3523,118989,419198247,Low
2017,Europe,3 Series,6662,56246,374710852,Low
2010,Africa,i3,4697,97877,459728269,Low
2024,Middle East,X6,722,51329,37059538,Low
2017,Middle East,i8,2271,58959,133895889,Low
2010,Europe,i8,9904,102226,1012446304,High
2021,Europe,5 Series,4278,70722,302548716,Low
2014,Asia,M3,3157,96955,306086935,Low
2017,Middle East,7 Series,8672,65314,566403008,High
2015,Europe,3 Series,2490,114555,285241950,Low
2018,Africa,5 Series,2236,34684,77553424,Low
2010,Asia,5 Series,6951,61951,430621401,Low
2018,Middle East,5 Series,349,116483,40652567,Low
2010,South America,i8,6719,53490,359399310,Low
2019,Asia,5 Series,7819,48410,378517790,High
2019,South America,X1,7416,78498,582141168,High
2012,Europe,7 Series,5373,96696,519547608,Low
2010,Africa,X1,4521,38191,172661511,Low
2012,Europe,M5,9477,46583,441467091,High
2021,Europe,X3,7049,116336,820052464,High
2020,Asia,M5,1336,115809,154720824,Low
2022,Asia,7 Series,4047,119814,484887258,Low
2011,Europe,i8,958,97319,93231602,Low
2011,Africa,M3,5317,99006,526414902,Low
2018,South America,X1,4721,89583,422921343,Low
2017,North America,3 Series,7511,69121,519167831,High
2010,Middle East,X6,8504,97808,831759232,High
2021,Asia,i3,1212,61163,74129556,Low
2023,Europe,X6,748,56670,42389160,Low
2013,North America,M3,2193,74049,162389457,Low
2022,Africa,X3,6764,114532,774694448,Low
2010,North America,X5,440,106652,46926880,Low
2010,North America,X5,7475,81959,612643525,High
2021,South America,i8,245,71388,17490060,Low
2021,Africa,i8,9512,35228,335088736,High
2013,Asia,X5,3537,69839,247020543,Low
2011,Europe,X5,9149,100735,921624515,High
2012,Asia,M3,9550,45006,429807300,High
2020,Middle East,5 Series,8872,38122,338218384,High
2018,Middle East,X5,3923,51308,201281284,Low
2011,Europe,M5,1778,110410,196308980,Low
2013,Africa,X6,9984,84867,847312128,High
2010,Africa,5 Series,7292,107170,781483640,High
2011,South America,X3,7881,117669,927349389,High
2014,North America,X5,1666,56828,94675448,Low
2023,Middle East,X6,252,87894,22149288,Low
2019,Europe,M3,871,62068,54061228,Low
2024,Europe,X3,1005,30293,30444465,Low
2010,South America,X3,3322,63888,212235936,Low
2020,Asia,5 Series,414,96195,39824730,Low
2016,Europe,M3,6116,30664,187541024,Low
2013,North America,X1,6642,64834,430627428,Low
2015,Africa,X5,9937,44677,443955349,High
2017,Africa,M5,302,119379,36052458,Low
2022,Europe,i8,8361,38701,323579061,High
2015,South America,i3,5432,80966,439807312,Low
2023,Europe,X3,2307,64030,147717210,Low
2011,Asia,7 Series,5841,86062,502688142,Low
2010,Africa,M5,138,46204,6376152,Low
2017,Africa,M3,3345,118602,396723690,Low
2017,Asia,X6,9663,99187,958443981,High
2018,Middle East,X6,7488,102987,771166656,High
2015,South America,X3,900,109370,98433000,Low
2021,Europe,7 Series,1456,74062,107834272,Low
2010,Asia,M5,6542,107570,703722940,Low
2023,Europe,X6,915,116870,106936050,Low
2018,Asia,M3,4402,70212,309073224,Low
2021,South America,5 Series,9961,111476,1110412436,High
2022,South America,3 Series,3705,87333,323568765,Low
2024,Asia,M3,6384,111037,708860208,Low
2023,South America,M3,6384,108915,695313360,Low
2012,Asia,X1,4744,46466,220434704,Low
2020,Middle East,3 Series,1287,68443,88086141,Low
2015,Africa,3 Series,9644,55373,534017212,High
2019,Asia,X3,8616,93158,802649328,High
2022,Middle East,X5,2215,33046,73196890,Low
2019,Middle East,M3,6763,92089,622797907,Low
2024,Africa,3 Series,9198,103278,949951044,High
2020,North America,i8,9001,87880,791007880,High
2021,Europe,X6,9808,101776,998219008,High
2023,Asia,M3,8452,115668,977625936,High
2024,Europe,X3,1982,67548,133880136,Low
2018,Europe,5 Series,3825,118845,454582125,Low
2020,Africa,7 Series,5819,76758,446654802,Low
2022,South America,7 Series,6202,77555,480996110,Low
2012,Europe,X3,3326,37575,124974450,Low
2014,Africa,i3,8235,77570,638788950,High
2022,South America,M5,3499,30554,106908446,Low
2023,Europe,i8,184,33726,6205584,Low
2014,Middle East,3 Series,8121,115319,936505599,High
2019,North America,M5,4811,47790,229917690,Low
2016,Europe,M3,9392,77578,728612576,High
2013,Middle East,X3,6046,73195,442536970,Low
2020,South America,X1,7291,100363,731746633,High
2013,Asia,5 Series,2512,34721,87219152,Low
2016,South America,X3,8329,57102,475602558,High
2018,Middle East,X6,5381,36665,197294365,Low
2024,South America,i8,2468,64288,158662784,Low
2020,Asia,X1,3093,36089,111623277,Low
2013,Middle East,M5,1246,47841,59609886,Low
2013,Asia,X1,4332,63985,277183020,Low
2015,Middle East,5 Series,176,43534,7661984,Low
2015,Africa,X1,3565,114327,407575755,Low
2016,Asia,X3,8842,97785,864614970,High
2024,Asia,M5,184,59206,10893904,Low
2010,Africa,7 Series,9950,85967,855371650,High
2022,Africa,i3,9251,106057,981133307,High
2020,Asia,i8,2557,86121,220211397,Low
2023,Europe,X1,7676,115147,883868372,High
2012,Africa,3 Series,7692,86851,668057892,High
2018,Asia,X3,2536,97254,246636144,Low
2015,North America,7 Series,5435,115636,628481660,Low
2015,North America,X6,4468,74898,334644264,Low
2014,North America,M3,3384,54969,186015096,Low
2020,Africa,3 Series,8279,100920,835516680,High
2012,Middle East,X3,8618,65712,566306016,High
2020,South America,i8,3187,103467,329749329,Low
2014,Middle East,3 Series,3755,88639,332839445,Low
2023,Africa,X1,167,108529,18124343,Low
2010,Africa,M3,7267,52758,383392386,High
2012,South America,5 Series,5072,105464,534913408,Low
2013,South America,7 Series,7518,87865,660569070,High
2014,Europe,X6,162,74698,12101076,Low
2019,Europe,M5,9518,62566,595503188,High
2018,Asia,7 Series,4686,38483,180331338,Low
2013,Asia,i3,5669,90342,512148798,Low
2012,Europe,M3,3031,80206,243104386,Low
2019,Africa,X3,9211,72793,670496323,High
2010,North America,i8,191,36283,6930053,Low
2022,Europe,X5,3978,70110,278897580,Low
2019,Europe,X1,1196,34475,41232100,Low
2015,Europe,i8,265,44620,11824300,Low
2016,Middle East,5 Series,1011,83810,84731910,Low
2019,South America,3 Series,408,84927,34650216,Low
2024,Asia,3 Series,9831,36161,355498791,High
2017,North America,X5,2905,68903,200163215,Low
2021,Europe,7 Series,5529,110180,609185220,Low
2010,South America,X6,1448,79588,115243424,Low
2021,Europe,3 Series,3805,83471,317607155,Low
2013,Asia,M3,1931,76806,148312386,Low
2020,Africa,M5,4496,58567,263317232,Low
2014,Asia,X1,4007,44906,179938342,Low
2011,Europe,5 Series,4938,115824,571938912,Low
2010,North America,X6,3688,74052,273103776,Low
2017,North America,5 Series,3786,82049,310637514,Low
2015,North America,3 Series,3321,100841,334892961,Low
2014,Asia,i3,3865,88140,340661100,Low
2022,South America,i3,6975,39058,272429550,Low
2018,Middle East,i8,1563,66184,103445592,Low
2022,Asia,X3,6452,112626,726662952,Low
2020,Middle East,X6,8174,102256,835840544,High
2022,Asia,3 Series,1505,59976,90263880,Low
2020,Middle East,3 Series,5637,107574,606394638,Low
2011,South America,X1,2557,80807,206623499,Low
2019,Europe,X5,8754,92055,805849470,High
2021,South America,7 Series,4493,86785,389925005,Low
2017,Africa,X6,9991,87454,873752914,High
2020,Asia,7 Series,5734,79130,453731420,Low
2023,Europe,X6,4267,69530,296684510,Low
2019,Middle East,5 Series,9561,40771,389811531,High
2022,North America,3 Series,5729,49305,282468345,Low
2018,Europe,M5,7852,117152,919877504,High
2010,North America,i3,3061,53560,163947160,Low
2016,Europe,M3,5684,80820,459380880,Low
2017,Middle East,M5,9097,85835,780840995,High
2012,Asia,i8,4120,59209,243941080,Low
2023,South America,7 Series,1519,39669,60257211,Low
2013,North America,M3,3064,68486,209841104,Low
2022,South America,M5,8527,101545,865874215,High
2012,North America,X5,3030,60341,182833230,Low
2016,Europe,M5,4853,76042,369031826,Low
2018,South America,X6,6312,60620,382633440,Low
2012,North America,5 Series,2436,99563,242535468,Low
2022,Europe,X1,3661,109592,401216312,Low
2015,South America,X3,5325,85498,455276850,Low
2017,South America,5 Series,9820,114745,1126795900,High
2015,North America,M3,7200,32790,236088000,High
2011,Europe,7 Series,6668,62444,416376592,Low
2022,North America,i3,3021,115773,349750233,Low
2016,Middle East,X1,6862,119042,816866204,Low
2011,Europe,M3,8616,62482,538344912,High
2011,Asia,X3,3289,64906,213475834,Low
2011,Asia,i3,3280,118468,388575040,Low
2020,South America,M3,7232,52838,382124416,High
2024,Asia,X5,4119,92372,380480268,Low
2010,North America,i8,4184,46173,193187832,Low
2023,Europe,M5,3920,101677,398573840,Low
2020,North America,5 Series,1848,59230,109457040,Low
2010,South America,X1,1835,88976,163270960,Low
2023,South America,X6,5414,59709,323264526,Low
2016,South America,5 Series,9936,62624,622232064,High
2024,Europe,M3,487,54639,26609193,Low
2022,Europe,i8,6887,62891,433130317,Low
2023,Africa,i8,2812,92433,259921596,Low
2023,Middle East,X1,2833,65256,184870248,Low
2024,Africa,i8,705,73477,51801285,Low
2023,Europe,M3,1285,109645,140893825,Low
2021,North America,5 Series,3732,97169,362634708,Low
2014,South America,M3,9045,107831,975331395,High
2020,Middle East,M3,2954,119100,351821400,Low
2012,Middle East,X3,5464,105324,575490336,Low
2010,North America,X5,5270,33255,175253850,Low
2020,South America,X5,789,35480,27993720,Low
2019,Europe,X5,8655,59960,518953800,High
2015,South America,X3,2755,108550,299055250,Low
2020,South America,X3,3963,117848,467031624,Low
2010,South America,X1,5002,115134,575900268,Low
2018,North America,X6,2348,41008,96286784,Low
2011,Middle East,X6,6808,61165,416411320,Low
2010,Africa,i3,6003,69301,416013903,Low
2024,Africa,X3,383,79408,30413264,Low
2021,Europe,X6,8431,31170,262794270,High
2016,Africa,i3,7463,76913,574001719,High
2015,Middle East,7 Series,194,70277,13633738,Low
2015,Europe,i8,7207,49315,355413205,High
2023,Africa,i8,9774,98039,958233186,High
2014,Middle East,3 Series,1126,118101,132981726,Low
2020,North America,X3,2107,100081,210870667,Low
2013,Middle East,X6,4157,79537,330635309,Low
2020,North America,5 Series,1258,55551,69883158,Low
2013,Middle East,X1,7659,65799,503954541,High
2012,South America,M3,572,50292,28767024,Low
2019,Africa,i8,2236,37982,84927752,Low
2017,Middle East,7 Series,3943,93709,369494587,Low
2016,Africa,M3,9256,42159,390223704,High
2018,Asia,i3,3252,117840,383215680,Low
2010,Europe,i8,5901,75773,447136473,Low
2016,South America,X6,5179,88750,459636250,Low
2019,North America,X3,1117,30489,34056213,Low
2013,Asia,M5,8074,39749,320933426,High
2016,Africa,i3,9197,55042,506221274,High
2022,South America,i8,1802,65391,117834582,Low
2021,South America,X5,1873,30744,57583512,Low
2010,Europe,i8,6950,72474,503694300,Low
2014,Asia,X3,1360,46697,63507920,Low
2012,Asia,i8,4561,47689,217509529,Low
2014,South America,3 Series,7613,109010,829893130,High
2013,Africa,X3,7278,96561,702770958,High
2011,North America,i3,1487,34675,51561725,Low
2020,Africa,i3,7662,51041,391076142,High
2013,South America,3 Series,4271,119683,511166093,Low
2012,Europe,i8,8863,58090,514851670,High
2022,Asia,7 Series,9854,118728,1169945712,High
2010,South America,M3,1061,57412,60914132,Low
2021,Europe,M5,867,54902,47600034,Low
2019,Middle East,M5,1020,76905,78443100,Low
2017,Africa,i3,6075,115931,704280825,Low
2024,Africa,X1,1854,85225,158007150,Low
2014,Middle East,X3,6467,56598,366019266,Low
2013,North America,X1,6684,66848,446812032,Low
2019,Middle East,X1,774,40511,31355514,Low
2021,Middle East,7 Series,6240,100367,626290080,Low
2014,North America,i8,5756,46201,265932956,Low
2013,Africa,3 Series,7576,34311,259940136,High
2012,Africa,M3,4419,115537,510558003,Low
2014,North America,X3,3936,73736,290224896,Low
2013,Europe,X6,7145,63318,452407110,High
2024,South America,5 Series,2634,114611,301885374,Low
2010,South America,i8,5448,116804,636348192,Low
2021,Africa,X1,9884,79183,782644772,High
2012,South America,X6,7130,50184,357811920,High
2019,South America,X1,2778,63537,176505786,Low
2024,North America,5 Series,4311,108664,468450504,Low
2019,Africa,3 Series,8601,117759,1012845159,High
2017,Europe,i3,6635,90974,603612490,Low
2016,Europe,7 Series,4843,44870,217305410,Low
2011,Africa,3 Series,6080,81500,495520000,Low
2010,South America,X5,9206,87308,803757448,High
2012,North America,5 Series,944,59010,55705440,Low
2014,Middle East,X3,4960,52130,258564800,Low
2019,North America,7 Series,9808,90670,889291360,High
2024,Africa,X1,3843,90163,346496409,Low
2020,Africa,M5,9985,76425,763103625,High
2021,South America,M5,2709,86639,234705051,Low
2010,North America,M3,4970,64992,323010240,Low
2012,Middle East,i3,8689,106349,924066461,High
2012,North America,3 Series,292,82820,24183440,Low
2014,North America,M3,7780,31927,248392060,High
2012,Middle East,X3,8540,96337,822717980,High
2022,North America,5 Series,3241,49261,159654901,Low
2018,South America,M3,7082,63350,448644700,High
2010,North America,7 Series,2389,47160,112665240,Low
2013,Asia,M5,9123,58298,531852654,High
2022,Africa,3 Series,1709,37633,64314797,Low
2022,Asia,X1,4031,93430,376616330,Low
2019,Europe,M5,6141,31601,194061741,Low
2019,North America,X3,5115,82271,420816165,Low
2013,Middle East,M5,7249,45134,327176366,High
2010,South America,X1,5507,89559,493201413,Low
2023,Africa,X1,2779,40587,112791273,Low
2011,Middle East,5 Series,5032,30995,155966840,Low
2020,South America,X3,9374,61365,575235510,High
2010,South America,7 Series,9210,113329,1043760090,High
2015,Asia,X1,7969,71070,566356830,High
2012,Asia,X6,5516,115189,635382524,Low
2016,Africa,X3,9334,91326,852436884,High
2014,Africa,7 Series,688,110321,75900848,Low
2018,South America,X6,6257,107925,675286725,Low
2016,Asia,5 Series,6446,56478,364057188,Low
2013,North America,i3,3468,75343,261289524,Low
2014,Europe,M5,3074,100269,308226906,Low
2014,North America,X5,5391,41203,222125373,Low
2020,South America,M3,8203,35392,290320576,High
2024,North America,M5,4870,94435,459898450,Low
2014,South America,7 Series,6923,111870,774476010,Low
2019,South America,5 Series,5523,36475,201451425,Low
2018,North America,i8,5956,85038,506486328,Low
2019,North America,X1,2523,69875,176294625,Low
2012,North America,X6,3693,107870,398363910,Low
2015,Europe,7 Series,6699,99814,668653986,Low
2017,Europe,5 Series,9971,87055,868025405,High
2020,Middle East,X6,2413,100880,243423440,Low
2018,North America,3 Series,7368,34862,256863216,High
2022,South America,M3,6522,112362,732824964,Low
2024,South America,5 Series,841,48561,40839801,Low
2016,Asia,i3,6572,115901,761701372,Low
2021,Asia,i8,6601,82846,546866446,Low
2012,Asia,X5,3311,116929,387151919,Low
2010,Asia,M5,5375,80683,433671125,Low
2013,Middle East,i8,5025,116898,587412450,Low
2022,Europe,X1,5705,42392,241846360,Low
2015,North America,7 Series,1025,36759,37677975,Low
2012,Africa,X6,9473,96614,915224422,High
2023,North America,3 Series,2058,69219,142452702,Low
2010,North America,M5,149,48083,7164367,Low
2015,South America,X5,7094,119231,845824714,High
2023,Middle East,5 Series,1243,37768,46945624,Low
2010,Middle East,5 Series,7980,97496,778018080,High
2018,South America,5 Series,7142,107533,768000686,High
2020,South America,X6,8430,114265,963253950,High
2023,Asia,7 Series,1474,105541,155567434,Low
2021,North America,X5,3088,42507,131261616,Low
2010,Asia,X5,4307,42651,183697857,Low
2022,Europe,i3,1111,55862,62062682,Low
2015,South America,i3,6877,104401,717965677,Low
2010,North America,X1,2942,115131,338715402,Low
2021,Europe,X1,4554,44407,202229478,Low
2016,Middle East,M5,8647,71768,620577896,High
2012,Europe,X6,2129,59649,126992721,Low
2015,Africa,X3,3039,73230,222545970,Low
2016,Asia,X3,6042,71578,432474276,Low
2010,Europe,X3,1722,48963,84314286,Low
2010,Middle East,i3,7157,67779,485094303,High
2022,Middle East,3 Series,8774,40352,354048448,High
2014,Asia,M3,4489,38261,171753629,Low
2015,Europe,3 Series,3137,42610,133667570,Low
2024,South America,X5,5676,113479,644106804,Low
2024,Europe,M5,8816,91494,806611104,High
2018,Asia,i3,517,53727,27776859,Low
2023,South America,i8,6590,116704,769079360,Low
2010,North America,3 Series,5354,86766,464545164,Low
2022,Europe,5 Series,3507,107980,378685860,Low
2013,Europe,5 Series,734,107980,79257320,Low
2019,Africa,7 Series,2244,58796,131938224,Low
2017,Africa,M5,8317,30104,250374968,High
2019,Middle East,i3,3332,43222,144015704,Low
2018,Africa,7 Series,6768,32208,217983744,Low
2024,Middle East,i3,9865,32631,321904815,High
2022,North America,X5,6850,38041,260580850,Low
2012,Europe,X1,6839,87868,600929252,Low
2020,Africa,X5,6624,53543,354668832,Low
2011,Africa,i8,7549,109215,824464035,High
2013,Middle East,7 Series,930,33466,31123380,Low
2011,Middle East,5 Series,6746,82640,557489440,Low
2010,North America,X3,7989,47136,376569504,High
2021,Europe,X5,7481,113753,850986193,High
2012,Middle East,M5,983,75048,73772184,Low
2016,Asia,X6,931,60129,55980099,Low
2022,Africa,X6,9171,116297,1066559787,High
2022,Africa,7 Series,8322,40811,339629142,High
2010,Asia,X1,2205,73262,161542710,Low
2011,Middle East,X5,121,98491,11917411,Low
2010,Middle East,5 Series,4381,84929,372073949,Low
2017,Asia,i3,925,53729,49699325,Low
2014,Europe,M3,4242,47629,202042218,Low
2017,Africa,X5,1840,85910,158074400,Low
2012,Africa,i8,9457,105113,994053641,High
2022,Middle East,X3,3988,65042,259387496,Low
2021,Africa,X3,3229,38944,125750176,Low
2016,South America,i3,618,48248,29817264,Low
2017,Middle East,X6,2195,100765,221179175,Low
2024,Africa,X6,4381,72760,318761560,Low
2015,Europe,M5,3266,37465,122360690,Low
2022,South America,X5,9132,72678,663695496,High
2022,Asia,M5,9874,70232,693470768,High
2016,Asia,X6,9027,75297,679706019,High
2023,South America,X6,2129,57711,122866719,Low
2021,Africa,X6,2341,34307,80312687,Low
2011,South America,7 Series,1300,109983,142977900,Low
2017,Asia,3 Series,1898,76411,145028078,Low
2014,Africa,3 Series,6177,32433,200338641,Low
2016,Asia,X5,245,76622,18772390,Low
2010,Asia,i3,8638,116990,1010559620,High
2014,Europe,i3,1861,60780,113111580,Low
2010,Asia,M5,6508,47575,309618100,Low
2021,North America,X1,4776,36516,174400416,Low
2022,Middle East,5 Series,8222,67524,555182328,High
2017,South America,M3,2782,112291,312393562,Low
2024,North America,i8,688,56956,39185728,Low
2013,Asia,3 Series,3559,119136,424005024,Low
2013,Europe,M3,6865,83106,570522690,Low
2011,Europe,i8,2525,83609,211112725,Low
2014,South America,X1,4105,46513,190935865,Low
2010,Africa,M5,4379,36675,160599825,Low
2018,Asia,X1,9609,62914,604540626,High
2014,South America,X3,240,36012,8642880,Low
2015,Middle East,M3,4746,40328,191396688,Low
2011,North America,X5,2130,33056,70409280,Low
2019,North America,X5,699,45646,31906554,Low
2019,North America,X6,5761,66054,380537094,Low
2010,Asia,M3,3333,71328,237736224,Low
2013,North America,5 Series,1267,118450,150076150,Low
2016,Middle East,3 Series,3084,51362,158400408,Low
2015,Africa,X6,7034,55045,387186530,High
2019,Middle East,M5,8876,94650,840113400,High
2010,Europe,X3,1300,66780,86814000,Low
2010,South America,X5,6489,30314,196707546,Low
2017,North America,X3,7507,118432,889069024,High
2013,Africa,i3,2190,50199,109935810,Low
2014,North America,7 Series,1939,91494,177406866,Low
2022,North America,3 Series,1617,71882,116233194,Low
2016,Middle East,3 Series,1177,72182,84958214,Low
2017,Asia,5 Series,8275,92163,762648825,High
2024,Europe,5 Series,4915,78561,386127315,Low
2019,South America,X1,2921,53811,157181931,Low
2016,Middle East,X6,9485,46717,443110745,High
2011,Asia,7 Series,7408,80153,593773424,High
2023,Asia,5 Series,5270,32088,169103760,Low
2024,Asia,X6,1085,111824,121329040,Low
2013,Middle East,7 Series,8561,40427,346095547,High
2019,Middle East,M5,6368,34000,216512000,Low
2021,Asia,X1,8417,97693,822281981,High
2010,North America,5 Series,9344,71883,671674752,High
2019,Africa,X3,2036,39616,80658176,Low
2018,Europe,M3,9101,56287,512267987,High
2012,Middle East,M3,1542,32014,49365588,Low
2021,Middle East,M5,6045,33467,202308015,Low
2012,South America,M3,1239,80393,99606927,Low
2019,Asia,X6,1599,39970,63912030,Low
2018,North America,3 Series,155,92145,14282475,Low
2019,North America,M3,8482,73855,626438110,High
2012,Asia,X3,3364,49635,166972140,Low
2017,Middle East,M3,509,78843,40131087,Low
2011,North America,5 Series,2194,47724,104706456,Low
2023,Europe,M3,6079,113070,687352530,Low
2022,Asia,7 Series,6059,102845,623137855,Low
2012,Europe,i8,3078,90028,277106184,Low
2011,Asia,X1,9544,76157,726842408,High
2010,Europe,i3,5096,74273,378495208,Low
2011,Africa,7 Series,9092,71476,649859792,High
2017,North America,7 Series,5452,48490,264367480,Low
2018,Asia,M5,6328,104553,661611384,Low
2022,South America,X5,7125,81380,579832500,High
2011,Middle East,M5,7461,66557,496581777,High
2016,Africa,M3,7722,104283,805273326,High
2024,Africa,X5,7004,92063,644809252,High
2014,Asia,3 Series,1784,35191,62780744,Low
2012,North America,M3,3205,49401,158330205,Low
2018,North America,5 Series,9543,104650,998674950,High
2024,Africa,M3,2279,93594,213300726,Low
2015,South America,M3,5580,38454,214573320,Low
2020,Africa,i8,6587,117156,771706572,Low
2010,Middle East,3 Series,5883,34036,200233788,Low
2014,South America,X6,248,49775,12344200,Low
2016,Africa,5 Series,2695,81615,219952425,Low
2013,Europe,M3,4892,47629,233001068,Low
2017,Africa,X6,2024,108645,219897480,Low
2019,Europe,3 Series,8014,42560,341075840,High
2014,Asia,X1,8212,112698,925475976,High
2018,South America,i3,4296,105800,454516800,Low
2018,Middle East,7 Series,8474,94509,800869266,High
2018,Europe,i3,2258,47836,108013688,Low
2010,South America,X3,2637,79956,210843972,Low
2011,Asia,X3,8376,92971,778725096,High
2012,Asia,i8,2792,114195,318832440,Low
2023,North America,3 Series,9971,76935,767118885,High
2013,Europe,i8,1143,56095,64116585,Low
2019,Europe,X1,8414,102873,865573422,High
2018,North America,i3,4380,97410,426655800,Low
2019,Asia,X1,3190,111651,356166690,Low
2022,Asia,X6,3686,96113,354272518,Low
2015,North America,7 Series,5616,112641,632591856,Low
2010,Africa,X5,4809,40241,193518969,Low
2021,Middle East,X3,9192,39332,361539744,High
2018,South America,X6,5707,92089,525551923,Low
2015,Europe,X1,797,36688,29240336,Low
2013,Middle East,3 Series,4179,30068,125654172,Low
2023,South America,X3,5963,30109,179539967,Low
2013,North America,X3,4462,64408,287388496,Low
2012,Africa,5 Series,9473,100370,950805010,High
2016,Middle East,3 Series,218,112455,24515190,Low
2012,Asia,X5,3019,79617,240363723,Low
2011,South America,i8,8006,42318,338797908,High
2019,North America,X6,2635,106313,280134755,Low
2017,Europe,X3,664,104320,69268480,Low
2013,South America,5 Series,2426,54252,131615352,Low
2017,Africa,M5,6833,33036,225734988,Low
2010,South America,X5,4470,32650,145945500,Low
2024,South America,M5,2252,102935,231809620,Low
2014,Middle East,5 Series,2107,61278,129112746,Low
2022,South America,X1,5617,105890,594784130,Low
2018,Asia,M5,7259,90330,655705470,High
2010,Africa,X5,2877,105757,304262889,Low
2020,Middle East,3 Series,7445,80187,596992215,High
2022,Middle East,5 Series,7614,118333,900987462,High
