Model,Category,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM
i8,Hybrid Sports Car,Electric,Manual,2.5,28839
5 Series,Sedan,Diesel,Automatic,4.3,74407
i3,Electric Hatchback,Electric,Manual,4.3,104539
i3,Electric Hatchback,Diesel,Manual,1.9,180212
3 Series,Sedan,Electric,Manual,1.6,185327
M5,Performance Sedan,Hybrid,Automatic,3.5,23829
X5,SUV,Electric,Manual,4.3,117057
7 Series,Sedan,Diesel,Manual,3.4,24602
X3,SUV,Petrol,Manual,4.3,124280
3 Series,Sedan,Diesel,Manual,3.7,192540
3 Series,Sedan,Petrol,Manual,3.8,58530
5 Series,Sedan,Electric,Automatic,1.6,103460
M5,Performance Sedan,Diesel,Manual,1.8,27634
X6,SUV-Coupe,Petrol,Manual,4,168601
3 Series,Sedan,Hybrid,Manual,4.2,109154
X5,SUV,Petrol,Automatic,3.4,96137
M5,Performance Sedan,Hybrid,Manual,3.6,92051
X6,SUV-Coupe,Hybrid,Automatic,3.7,52923
M5,Performance Sedan,Electric,Automatic,1.9,111113
5 Series,Sedan,Hybrid,Manual,3.8,33309
5 Series,Sedan,Electric,Automatic,3.2,110223
X5,SUV,Electric,Automatic,3.6,157062
3 Series,Sedan,Diesel,Automatic,3.5,168053
X3,SUV,Hybrid,Automatic,4.2,81920
X6,SUV-Coupe,Petrol,Manual,2.6,160044
3 Series,Sedan,Diesel,Manual,2.8,137990
i3,Electric Hatchback,Diesel,Automatic,2.9,82216
X5,SUV,Petrol,Automatic,4.2,141635
M5,Performance Sedan,Petrol,Manual,3,85505
X3,SUV,Hybrid,Manual,2.1,140560
7 Series,Sedan,Petrol,Automatic,4.9,47591
5 Series,Sedan,Hybrid,Automatic,3.2,148872
3 Series,Sedan,Electric,Manual,1.9,136842
i3,Electric Hatchback,Diesel,Manual,3.8,25899
7 Series,Sedan,Petrol,Automatic,4.1,80466
M3,Performance Sedan,Hybrid,Automatic,3.3,157111
7 Series,Sedan,Hybrid,Automatic,3.8,179630
X6,SUV-Coupe,Hybrid,Manual,2.1,98247
X1,SUV,Electric,Manual,2.8,116410
i3,Electric Hatchback,Diesel,Automatic,2.1,63675
M3,Performance Sedan,Diesel,Manual,2.9,81440
7 Series,Sedan,Electric,Manual,3.5,56247
M5,Performance Sedan,Hybrid,Manual,3,35457
X1,SUV,Electric,Manual,3.6,1083
7 Series,Sedan,Electric,Automatic,3.3,93587
M3,Performance Sedan,Hybrid,Automatic,2.6,56214
i3,Electric Hatchback,Petrol,Manual,2,15441
5 Series,Sedan,Petrol,Manual,2.4,117405
M5,Performance Sedan,Electric,Automatic,2.2,102100
5 Series,Sedan,Diesel,Automatic,4,62755
i3,Electric Hatchback,Petrol,Manual,4.4,157840
X5,SUV,Electric,Automatic,4,42981
7 Series,Sedan,Electric,Manual,3.8,165024
X5,SUV,Diesel,Manual,2.6,185400
M3,Performance Sedan,Electric,Automatic,4,66785
3 Series,Sedan,Diesel,Manual,3.6,178988
7 Series,Sedan,Hybrid,Manual,1.7,75066
7 Series,Sedan,Electric,Automatic,4.7,16903
M3,Performance Sedan,Petrol,Automatic,1.8,127855
X6,SUV-Coupe,Petrol,Manual,3.3,104817
i8,Hybrid Sports Car,Electric,Automatic,3.3,98235
i3,Electric Hatchback,Diesel,Automatic,4.4,40718
X3,SUV,Electric,Manual,4.7,198302
7 Series,Sedan,Hybrid,Manual,4.8,168511
X3,SUV,Hybrid,Automatic,3.5,165033
X5,SUV,Diesel,Automatic,3.9,85353
7 Series,Sedan,Hybrid,Manual,1.8,156444
X3,SUV,Electric,Manual,3.2,42893
5 Series,Sedan,Petrol,Automatic,4.6,25779
X6,SUV-Coupe,Electric,Automatic,3.1,151732
M3,Performance Sedan,Hybrid,Manual,1.7,37900
3 Series,Sedan,Hybrid,Automatic,2.2,95163
X6,SUV-Coupe,Petrol,Manual,3,9007
M5,Performance Sedan,Petrol,Automatic,2.3,183193
X1,SUV,Hybrid,Manual,2.9,181459
7 Series,Sedan,Electric,Automatic,2.7,109470
7 Series,Sedan,Electric,Manual,2.6,195698
i3,Electric Hatchback,Hybrid,Manual,1.8,47139
i8,Hybrid Sports Car,Diesel,Automatic,4.6,26138
X3,SUV,Petrol,Manual,3.9,133348
7 Series,Sedan,Diesel,Automatic,3.7,14974
M5,Performance Sedan,Diesel,Automatic,3.6,2652
i3,Electric Hatchback,Hybrid,Automatic,2.9,74842
3 Series,Sedan,Diesel,Automatic,4.4,33482
X5,SUV,Electric,Manual,4.8,146648
X1,SUV,Petrol,Manual,1.5,10359
5 Series,Sedan,Diesel,Manual,1.8,77956
i3,Electric Hatchback,Petrol,Manual,3.9,81970
i8,Hybrid Sports Car,Petrol,Manual,2.3,156225
7 Series,Sedan,Petrol,Automatic,4.7,35879
X1,SUV,Diesel,Manual,3.8,133068
X1,SUV,Petrol,Automatic,2.8,41591
X6,SUV-Coupe,Electric,Manual,3,35322
i8,Hybrid Sports Car,Diesel,Manual,3.9,104934
X5,SUV,Diesel,Manual,2,45264
i3,Electric Hatchback,Diesel,Manual,4.6,17374
M3,Performance Sedan,Petrol,Manual,1.5,127157
X3,SUV,Electric,Manual,4.9,145674
M5,Performance Sedan,Hybrid,Automatic,2.1,166790
X6,SUV-Coupe,Petrol,Automatic,4.1,53317
i8,Hybrid Sports Car,Electric,Manual,1.6,161372
X6,SUV-Coupe,Diesel,Manual,3,470
X3,SUV,Hybrid,Manual,3.7,22860
i3,Electric Hatchback,Electric,Manual,1.7,162933
i8,Hybrid Sports Car,Hybrid,Manual,3.1,60836
3 Series,Sedan,Diesel,Automatic,2.6,35275
X3,SUV,Hybrid,Manual,3.2,126972
X5,SUV,Hybrid,Automatic,3.3,56651
M5,Performance Sedan,Hybrid,Manual,4.2,48378
X6,SUV-Coupe,Petrol,Automatic,1.9,60354
X5,SUV,Petrol,Automatic,1.8,169443
i3,Electric Hatchback,Electric,Automatic,2.9,15732
i8,Hybrid Sports Car,Petrol,Automatic,4.6,50384
i3,Electric Hatchback,Electric,Automatic,4.5,31497
i8,Hybrid Sports Car,Hybrid,Automatic,3.5,60556
X1,SUV,Diesel,Manual,4.6,77371
X6,SUV-Coupe,Electric,Automatic,4.3,97046
X3,SUV,Hybrid,Manual,2.5,113949
M3,Performance Sedan,Petrol,Automatic,2.1,175223
3 Series,Sedan,Electric,Manual,2.6,187196
X5,SUV,Hybrid,Manual,2.3,112923
3 Series,Sedan,Petrol,Automatic,3.7,162966
i8,Hybrid Sports Car,Hybrid,Automatic,3.5,144324
7 Series,Sedan,Hybrid,Automatic,3.6,195888
i3,Electric Hatchback,Diesel,Manual,2.2,131485
i3,Electric Hatchback,Hybrid,Manual,4.3,78024
X3,SUV,Electric,Manual,3,161135
X3,SUV,Petrol,Manual,3.2,379
M5,Performance Sedan,Electric,Manual,5,156577
X6,SUV-Coupe,Petrol,Manual,2.5,108099
7 Series,Sedan,Hybrid,Automatic,2.9,126541
M5,Performance Sedan,Electric,Manual,3.9,146689
7 Series,Sedan,Petrol,Automatic,4.6,17199
3 Series,Sedan,Diesel,Automatic,1.9,159223
7 Series,Sedan,Electric,Manual,4.1,4552
X1,SUV,Petrol,Manual,4.7,148375
i3,Electric Hatchback,Petrol,Manual,3,56717
X1,SUV,Diesel,Automatic,2.5,15690
M5,Performance Sedan,Diesel,Manual,3.9,36455
X5,SUV,Electric,Manual,2.4,95005
i3,Electric Hatchback,Petrol,Manual,2.8,153047
i3,Electric Hatchback,Petrol,Manual,4.6,175009
M5,Performance Sedan,Hybrid,Manual,3.6,186432
M3,Performance Sedan,Hybrid,Manual,1.8,133881
M3,Performance Sedan,Petrol,Manual,2.7,60776
i8,Hybrid Sports Car,Diesel,Manual,3.7,43383
X1,SUV,Hybrid,Manual,3.2,5037
M5,Performance Sedan,Electric,Manual,3.8,85557
X5,SUV,Petrol,Automatic,4.2,41313
M5,Performance Sedan,Electric,Automatic,3.2,53952
7 Series,Sedan,Hybrid,Automatic,5,160569
X3,SUV,Hybrid,Automatic,4.7,127668
5 Series,Sedan,Hybrid,Manual,1.7,72449
M3,Performance Sedan,Diesel,Automatic,2.4,5424
i3,Electric Hatchback,Hybrid,Automatic,2.6,18316
M5,Performance Sedan,Electric,Automatic,2.1,175522
i3,Electric Hatchback,Diesel,Automatic,2.6,198164
X3,SUV,Hybrid,Automatic,3,82503
X5,SUV,Hybrid,Automatic,1.7,148636
M3,Performance Sedan,Hybrid,Manual,1.9,145224
M5,Performance Sedan,Hybrid,Manual,1.8,89652
3 Series,Sedan,Diesel,Automatic,1.7,61059
5 Series,Sedan,Electric,Automatic,3.2,20850
i3,Electric Hatchback,Petrol,Manual,2.7,74602
3 Series,Sedan,Hybrid,Manual,4.8,124419
3 Series,Sedan,Petrol,Manual,1.9,106586
i8,Hybrid Sports Car,Hybrid,Manual,4.7,193828
X1,SUV,Petrol,Automatic,1.8,58477
X5,SUV,Petrol,Manual,3.7,106873
i8,Hybrid Sports Car,Hybrid,Automatic,2.4,161757
X6,SUV-Coupe,Diesel,Automatic,4.4,130510
X6,SUV-Coupe,Petrol,Manual,1.7,47963
7 Series,Sedan,Diesel,Automatic,4.8,165558
3 Series,Sedan,Petrol,Automatic,1.7,17435
X6,SUV-Coupe,Hybrid,Manual,2.3,46714
X1,SUV,Electric,Automatic,3.1,108603
X6,SUV-Coupe,Diesel,Automatic,4.1,165875
7 Series,Sedan,Diesel,Manual,4.8,110964
5 Series,Sedan,Hybrid,Automatic,3,14580
X3,SUV,Electric,Manual,4.2,10093
i8,Hybrid Sports Car,Electric,Automatic,4,47747
3 Series,Sedan,Electric,Automatic,3.5,105058
X1,SUV,Diesel,Manual,3.9,138662
M3,Performance Sedan,Diesel,Manual,1.6,10820
X5,SUV,Petrol,Automatic,3,163057
M5,Performance Sedan,Hybrid,Automatic,4.3,47132
7 Series,Sedan,Electric,Manual,3.2,56848
X1,SUV,Hybrid,Manual,4.6,147555
X3,SUV,Diesel,Manual,4.4,144222
M3,Performance Sedan,Diesel,Manual,4.5,78765
X6,SUV-Coupe,Diesel,Manual,2,16029
7 Series,Sedan,Petrol,Automatic,2.4,56223
3 Series,Sedan,Electric,Automatic,1.6,148423
X6,SUV-Coupe,Diesel,Manual,4.9,54729
7 Series,Sedan,Diesel,Automatic,2.3,27914
5 Series,Sedan,Diesel,Manual,2.8,55706
X5,SUV,Diesel,Manual,2.5,119557
M3,Performance Sedan,Electric,Automatic,1.6,73832
X3,SUV,Electric,Manual,2.4,19973
i3,Electric Hatchback,Diesel,Automatic,1.8,49766
3 Series,Sedan,Petrol,Automatic,2.9,49565
X5,SUV,Hybrid,Automatic,4.9,140305
X1,SUV,Electric,Automatic,3.9,160614
X6,SUV-Coupe,Petrol,Automatic,4,66854
M5,Performance Sedan,Electric,Manual,3.1,4429
M5,Performance Sedan,Electric,Manual,4.3,105406
i8,Hybrid Sports Car,Petrol,Manual,4.7,41614
M5,Performance Sedan,Petrol,Manual,4.9,111921
i3,Electric Hatchback,Electric,Automatic,1.8,71860
3 Series,Sedan,Petrol,Automatic,4.6,124131
i3,Electric Hatchback,Petrol,Automatic,2.3,50774
5 Series,Sedan,Diesel,Automatic,2.9,47651
X6,SUV-Coupe,Electric,Manual,2.7,104152
i8,Hybrid Sports Car,Petrol,Manual,3.9,88072
M3,Performance Sedan,Electric,Manual,3.6,138340
X6,SUV-Coupe,Hybrid,Manual,1.9,20119
5 Series,Sedan,Diesel,Manual,4.2,194514
M5,Performance Sedan,Hybrid,Manual,3,15203
i3,Electric Hatchback,Petrol,Automatic,1.5,112316
M3,Performance Sedan,Diesel,Manual,3,198497
X6,SUV-Coupe,Hybrid,Automatic,3.3,67786
3 Series,Sedan,Petrol,Automatic,1.7,151167
5 Series,Sedan,Hybrid,Manual,2,196015
7 Series,Sedan,Electric,Manual,5,25378
7 Series,Sedan,Electric,Automatic,4.5,141928
7 Series,Sedan,Petrol,Manual,2,5662
X5,SUV,Diesel,Manual,3.5,80096
5 Series,Sedan,Electric,Automatic,2.8,120700
X6,SUV-Coupe,Hybrid,Automatic,3.4,171150
X3,SUV,Hybrid,Manual,3.1,51393
X1,SUV,Diesel,Automatic,1.7,117374
X5,SUV,Petrol,Manual,2.6,108798
M5,Performance Sedan,Petrol,Manual,1.9,136177
X5,SUV,Hybrid,Automatic,3.2,111130
i8,Hybrid Sports Car,Petrol,Manual,4.7,187246
3 Series,Sedan,Diesel,Automatic,5,194703
3 Series,Sedan,Hybrid,Manual,4.8,115134
5 Series,Sedan,Electric,Manual,4.9,75290
X5,SUV,Petrol,Automatic,1.6,155551
X6,SUV-Coupe,Electric,Automatic,4.1,146105
3 Series,Sedan,Diesel,Manual,2.5,122274
X1,SUV,Diesel,Manual,4.5,164720
M3,Performance Sedan,Hybrid,Automatic,4.3,164839
M5,Performance Sedan,Hybrid,Automatic,3,34982
X3,SUV,Electric,Manual,3.2,91954
3 Series,Sedan,Diesel,Manual,2.4,115390
X6,SUV-Coupe,Diesel,Automatic,2.5,126711
i8,Hybrid Sports Car,Electric,Manual,4.9,10751
M5,Performance Sedan,Petrol,Manual,4.6,102919
5 Series,Sedan,Hybrid,Manual,2.2,191253
X3,SUV,Hybrid,Automatic,2.5,5185
i8,Hybrid Sports Car,Hybrid,Manual,1.9,58535
3 Series,Sedan,Electric,Manual,5,26157
7 Series,Sedan,Electric,Manual,4.7,120830
X6,SUV-Coupe,Diesel,Manual,3.4,185865
i8,Hybrid Sports Car,Petrol,Manual,3.9,159569
3 Series,Sedan,Hybrid,Automatic,4.1,33240
M5,Performance Sedan,Diesel,Manual,2.2,54897
5 Series,Sedan,Diesel,Automatic,4.8,176591
X3,SUV,Diesel,Automatic,3.3,41678
M3,Performance Sedan,Petrol,Manual,1.8,145350
X5,SUV,Petrol,Manual,2.9,92875
X5,SUV,Diesel,Automatic,3.6,142687
X5,SUV,Hybrid,Automatic,2.7,171714
3 Series,Sedan,Petrol,Manual,3.9,41856
3 Series,Sedan,Electric,Automatic,4.6,85815
M3,Performance Sedan,Petrol,Manual,4.2,134954
X3,SUV,Diesel,Automatic,3.7,101846
X3,SUV,Petrol,Manual,3.3,141474
X3,SUV,Electric,Manual,2.4,143680
i3,Electric Hatchback,Diesel,Manual,3.1,125675
7 Series,Sedan,Diesel,Automatic,2.5,39851
i3,Electric Hatchback,Hybrid,Automatic,4.8,90105
3 Series,Sedan,Petrol,Automatic,4.7,8399
5 Series,Sedan,Petrol,Automatic,2,85476
X6,SUV-Coupe,Petrol,Automatic,4.4,29218
7 Series,Sedan,Hybrid,Automatic,4,1600
3 Series,Sedan,Petrol,Manual,4.9,77473
3 Series,Sedan,Diesel,Manual,3.1,22297
M5,Performance Sedan,Hybrid,Automatic,4,75789
5 Series,Sedan,Petrol,Manual,3.3,86871
M5,Performance Sedan,Hybrid,Manual,1.7,173602
M3,Performance Sedan,Electric,Automatic,1.7,161216
M3,Performance Sedan,Petrol,Manual,1.9,170229
X3,SUV,Petrol,Manual,2.5,30223
X5,SUV,Petrol,Manual,2.4,16956
X6,SUV-Coupe,Diesel,Manual,4,53613
7 Series,Sedan,Hybrid,Automatic,4,2551
M3,Performance Sedan,Petrol,Automatic,4.9,140134
X5,SUV,Petrol,Manual,2.6,23060
7 Series,Sedan,Electric,Manual,4.8,197591
i3,Electric Hatchback,Diesel,Manual,3.6,136217
X1,SUV,Electric,Manual,3.2,150702
3 Series,Sedan,Hybrid,Automatic,3.8,182061
3 Series,Sedan,Petrol,Manual,4,120307
M3,Performance Sedan,Diesel,Automatic,2.1,126167
3 Series,Sedan,Electric,Manual,4.1,139499
i8,Hybrid Sports Car,Electric,Manual,4,168795
X1,SUV,Petrol,Manual,5,35091
X5,SUV,Petrol,Manual,4.7,153468
X1,SUV,Hybrid,Manual,3.9,164454
X1,SUV,Electric,Automatic,4,59860
M3,Performance Sedan,Hybrid,Automatic,4.8,3313
i3,Electric Hatchback,Diesel,Automatic,4.9,121853
X5,SUV,Petrol,Automatic,4.4,16273
5 Series,Sedan,Petrol,Automatic,4.2,125603
M3,Performance Sedan,Hybrid,Manual,1.9,58256
X3,SUV,Hybrid,Manual,4.4,186666
M5,Performance Sedan,Electric,Automatic,2.4,4677
7 Series,Sedan,Electric,Manual,3.5,163234
5 Series,Sedan,Petrol,Automatic,2.9,152807
X5,SUV,Hybrid,Manual,2.7,134583
X3,SUV,Electric,Manual,2.6,117717
X1,SUV,Diesel,Automatic,4.5,130399
M5,Performance Sedan,Petrol,Automatic,4.2,114953
i3,Electric Hatchback,Hybrid,Automatic,3.3,97605
M5,Performance Sedan,Petrol,Manual,3.8,192837
X6,SUV-Coupe,Petrol,Automatic,4.9,118304
M3,Performance Sedan,Diesel,Automatic,2.9,82767
i3,Electric Hatchback,Diesel,Automatic,3.4,155431
M3,Performance Sedan,Electric,Manual,3.4,193176
X6,SUV-Coupe,Electric,Manual,4.8,107226
X5,SUV,Petrol,Manual,2.7,105261
M5,Performance Sedan,Diesel,Automatic,5,910
i3,Electric Hatchback,Hybrid,Manual,2.6,46055
X3,SUV,Electric,Automatic,1.9,38729
5 Series,Sedan,Hybrid,Automatic,2.2,110053
M3,Performance Sedan,Diesel,Automatic,3,40446
X3,SUV,Petrol,Automatic,3.8,158938
M5,Performance Sedan,Diesel,Manual,3.3,37008
X3,SUV,Petrol,Manual,2.8,89685
X6,SUV-Coupe,Hybrid,Automatic,3.5,149517
5 Series,Sedan,Hybrid,Manual,4.4,139888
M5,Performance Sedan,Hybrid,Manual,4.4,137962
i3,Electric Hatchback,Electric,Manual,4,4507
M5,Performance Sedan,Electric,Manual,4.8,5880
X6,SUV-Coupe,Petrol,Manual,3.6,29685
X3,SUV,Petrol,Automatic,1.5,79943
i8,Hybrid Sports Car,Petrol,Manual,2.5,94087
5 Series,Sedan,Petrol,Manual,2.6,87836
M5,Performance Sedan,Diesel,Automatic,3.4,179496
X6,SUV-Coupe,Diesel,Automatic,4.7,39989
X6,SUV-Coupe,Diesel,Manual,4.4,7368
X1,SUV,Petrol,Automatic,2.3,41347
M3,Performance Sedan,Diesel,Automatic,3.3,136916
M5,Performance Sedan,Petrol,Automatic,3.8,29560
X5,SUV,Petrol,Automatic,5,163688
i8,Hybrid Sports Car,Hybrid,Automatic,1.6,142015
X5,SUV,Electric,Manual,3.1,110137
7 Series,Sedan,Electric,Automatic,5,18472
5 Series,Sedan,Petrol,Manual,4.9,102905
X1,SUV,Electric,Automatic,2.7,142888
X1,SUV,Electric,Manual,1.5,60901
i8,Hybrid Sports Car,Diesel,Automatic,3.6,163002
M3,Performance Sedan,Electric,Manual,4.5,180418
7 Series,Sedan,Hybrid,Manual,2.6,77578
i3,Electric Hatchback,Hybrid,Manual,4.8,21755
7 Series,Sedan,Petrol,Automatic,2.7,191603
X1,SUV,Hybrid,Manual,3.6,102274
5 Series,Sedan,Petrol,Automatic,4,28872
M3,Performance Sedan,Petrol,Automatic,2.7,27871
5 Series,Sedan,Electric,Manual,2.7,95725
X5,SUV,Diesel,Manual,3.1,171081
X5,SUV,Hybrid,Automatic,4.4,196080
3 Series,Sedan,Hybrid,Manual,1.9,110219
M5,Performance Sedan,Diesel,Automatic,3.7,88235
i8,Hybrid Sports Car,Diesel,Automatic,3.9,52221
X1,SUV,Diesel,Automatic,3.5,137655
3 Series,Sedan,Electric,Automatic,4.8,38076
i8,Hybrid Sports Car,Petrol,Manual,3.6,119720
5 Series,Sedan,Diesel,Automatic,3.7,175755
X1,SUV,Hybrid,Manual,3.6,131592
i8,Hybrid Sports Car,Hybrid,Automatic,4,122136
X3,SUV,Hybrid,Automatic,2,161738
i3,Electric Hatchback,Petrol,Automatic,4.6,129288
3 Series,Sedan,Petrol,Automatic,1.6,16620
i8,Hybrid Sports Car,Electric,Manual,3.7,4972
3 Series,Sedan,Diesel,Manual,3.7,3212
M5,Performance Sedan,Petrol,Manual,2.2,106118
3 Series,Sedan,Electric,Automatic,1.6,34443
X5,SUV,Petrol,Manual,2,160680
3 Series,Sedan,Electric,Automatic,2.5,92442
7 Series,Sedan,Electric,Manual,4.6,63
3 Series,Sedan,Petrol,Automatic,4.5,151863
X3,SUV,Petrol,Manual,1.7,184075
3 Series,Sedan,Diesel,Automatic,2.5,104003
7 Series,Sedan,Petrol,Manual,4.6,94483
M3,Performance Sedan,Hybrid,Manual,2.3,141219
i3,Electric Hatchback,Electric,Automatic,5,199618
3 Series,Sedan,Petrol,Automatic,2.4,141424
M5,Performance Sedan,Hybrid,Automatic,4.1,130245
X3,SUV,Hybrid,Manual,3,26692
X1,SUV,Electric,Manual,2,142910
M3,Performance Sedan,Diesel,Manual,2.4,194218
M5,Performance Sedan,Hybrid,Manual,3.9,141666
M5,Performance Sedan,Petrol,Automatic,2.7,125067
M5,Performance Sedan,Diesel,Manual,3.6,3894
X3,SUV,Petrol,Automatic,2.2,64357
7 Series,Sedan,Hybrid,Automatic,3.1,197166
X1,SUV,Hybrid,Automatic,3.3,104915
5 Series,Sedan,Diesel,Manual,2.9,37215
M3,Performance Sedan,Electric,Manual,2.2,131778
X3,SUV,Petrol,Manual,3.1,117101
i8,Hybrid Sports Car,Hybrid,Automatic,3.9,189885
7 Series,Sedan,Electric,Manual,4.9,57718
i3,Electric Hatchback,Diesel,Automatic,4.3,185590
X1,SUV,Electric,Automatic,2.1,64062
5 Series,Sedan,Hybrid,Automatic,2.5,182784
i3,Electric Hatchback,Diesel,Automatic,1.8,60288
7 Series,Sedan,Hybrid,Automatic,2,154177
3 Series,Sedan,Electric,Manual,2.4,168041
X3,SUV,Hybrid,Automatic,2.2,191593
i3,Electric Hatchback,Electric,Automatic,2.2,88556
5 Series,Sedan,Electric,Manual,2.3,109505
X1,SUV,Petrol,Automatic,2.6,97239
5 Series,Sedan,Hybrid,Automatic,1.9,108869
7 Series,Sedan,Electric,Manual,2.5,127039
X5,SUV,Hybrid,Manual,3.9,142018
X5,SUV,Petrol,Manual,2.3,184909
7 Series,Sedan,Diesel,Manual,2.1,170014
X5,SUV,Electric,Automatic,1.7,92808
X1,SUV,Electric,Automatic,3.2,186944
i3,Electric Hatchback,Diesel,Automatic,4.4,13413
M3,Performance Sedan,Petrol,Manual,1.7,94902
5 Series,Sedan,Electric,Manual,3.4,98286
i8,Hybrid Sports Car,Hybrid,Manual,3.8,99612
X1,SUV,Petrol,Manual,3.6,190680
X3,SUV,Petrol,Manual,4.6,1062
5 Series,Sedan,Diesel,Manual,4.5,185377
M5,Performance Sedan,Electric,Manual,1.7,179349
M5,Performance Sedan,Hybrid,Automatic,2.8,49899
X6,SUV-Coupe,Diesel,Manual,3.8,136123
5 Series,Sedan,Petrol,Automatic,4.8,120889
i8,Hybrid Sports Car,Petrol,Automatic,4.3,197595
M5,Performance Sedan,Diesel,Manual,2.1,160830
i3,Electric Hatchback,Petrol,Manual,2.5,76986
X1,SUV,Petrol,Manual,4.2,131197
X5,SUV,Electric,Automatic,3.2,48133
i3,Electric Hatchback,Petrol,Automatic,3.4,51747
X5,SUV,Electric,Automatic,3.6,17183
i8,Hybrid Sports Car,Diesel,Manual,1.9,12524
M5,Performance Sedan,Petrol,Manual,4.5,20282
7 Series,Sedan,Hybrid,Automatic,4.5,153078
M3,Performance Sedan,Hybrid,Automatic,3.1,20185
X3,SUV,Hybrid,Manual,3.7,99765
X5,SUV,Hybrid,Automatic,3.8,120901
M3,Performance Sedan,Electric,Manual,2.2,147489
M5,Performance Sedan,Petrol,Automatic,1.9,20138
5 Series,Sedan,Hybrid,Automatic,1.6,145969
X3,SUV,Electric,Manual,4.7,30981
M3,Performance Sedan,Electric,Automatic,2.7,95623
M5,Performance Sedan,Petrol,Manual,1.8,152903
X5,SUV,Petrol,Automatic,3.1,175769
3 Series,Sedan,Electric,Manual,1.8,168085
i8,Hybrid Sports Car,Electric,Manual,1.8,2156
X1,SUV,Hybrid,Automatic,3.2,15887
5 Series,Sedan,Electric,Automatic,3.3,35785
X3,SUV,Hybrid,Manual,3.5,17040
i3,Electric Hatchback,Diesel,Manual,3.8,76268
M5,Performance Sedan,Petrol,Automatic,3.8,148807
X6,SUV-Coupe,Petrol,Automatic,3,102513
i8,Hybrid Sports Car,Diesel,Automatic,3.8,66387
X3,SUV,Hybrid,Manual,2.6,179124
3 Series,Sedan,Electric,Manual,3,57451
X5,SUV,Hybrid,Automatic,2.9,161851
3 Series,Sedan,Diesel,Automatic,2.7,173437
X3,SUV,Petrol,Automatic,2.3,53141
X6,SUV-Coupe,Petrol,Manual,1.8,70506
i3,Electric Hatchback,Diesel,Automatic,3.3,125170
M3,Performance Sedan,Hybrid,Manual,3.4,184988
X6,SUV-Coupe,Petrol,Manual,2.7,85313
3 Series,Sedan,Diesel,Automatic,4.9,29783
7 Series,Sedan,Electric,Manual,3.4,83054
3 Series,Sedan,Petrol,Automatic,4.6,143895
X6,SUV-Coupe,Hybrid,Manual,3.5,7938
i3,Electric Hatchback,Diesel,Manual,2.2,128905
3 Series,Sedan,Electric,Manual,4.9,136487
X6,SUV-Coupe,Diesel,Manual,4.6,123674
M3,Performance Sedan,Diesel,Manual,3.1,77245
X5,SUV,Petrol,Automatic,2.4,32261
i8,Hybrid Sports Car,Electric,Automatic,2.3,28837
M3,Performance Sedan,Electric,Automatic,4.3,197021
X5,SUV,Electric,Manual,1.7,180616
M3,Performance Sedan,Hybrid,Manual,3.7,187680
i8,Hybrid Sports Car,Hybrid,Automatic,3.7,165782
5 Series,Sedan,Petrol,Manual,2.1,174325
X3,SUV,Petrol,Manual,4,65300
M5,Performance Sedan,Diesel,Manual,4,134770
M3,Performance Sedan,Electric,Automatic,2.7,126528
M3,Performance Sedan,Petrol,Manual,3.2,47847
M3,Performance Sedan,Diesel,Manual,4.4,64075
X6,SUV-Coupe,Hybrid,Automatic,3.3,115874
5 Series,Sedan,Hybrid,Manual,3.7,193174
i8,Hybrid Sports Car,Diesel,Automatic,2.9,82805
X1,SUV,Petrol,Automatic,2,74337
X1,SUV,Hybrid,Manual,5,73825
X3,SUV,Hybrid,Automatic,3.4,21599
X3,SUV,Hybrid,Manual,2.7,108178
M5,Performance Sedan,Petrol,Manual,4,22737
X5,SUV,Electric,Manual,3.7,67324
X1,SUV,Petrol,Automatic,2.3,27133
M5,Performance Sedan,Electric,Automatic,4.6,195271
7 Series,Sedan,Electric,Automatic,1.7,5346
X5,SUV,Diesel,Manual,3.6,174511
M3,Performance Sedan,Hybrid,Automatic,3.2,111472
X3,SUV,Hybrid,Automatic,2.6,119920
i8,Hybrid Sports Car,Petrol,Manual,4.4,128688
X3,SUV,Hybrid,Manual,3.8,105371
X3,SUV,Hybrid,Automatic,4.2,165603
X3,SUV,Petrol,Automatic,3,51045
3 Series,Sedan,Electric,Manual,4.8,143354
X1,SUV,Petrol,Manual,2.7,41013
3 Series,Sedan,Hybrid,Automatic,3.4,153323
i8,Hybrid Sports Car,Electric,Manual,4.8,13299
3 Series,Sedan,Diesel,Automatic,1.8,85734
X5,SUV,Diesel,Automatic,1.9,25848
M5,Performance Sedan,Electric,Automatic,5,35588
M5,Performance Sedan,Diesel,Manual,4.9,127013
5 Series,Sedan,Petrol,Automatic,4.2,80560
X3,SUV,Diesel,Automatic,3.2,46414
X6,SUV-Coupe,Electric,Automatic,3.3,8643
i3,Electric Hatchback,Diesel,Automatic,2.4,194870
X5,SUV,Petrol,Automatic,3,115941
i3,Electric Hatchback,Electric,Automatic,3,120222
i3,Electric Hatchback,Hybrid,Automatic,1.6,36673
X6,SUV-Coupe,Petrol,Automatic,3.1,76358
i3,Electric Hatchback,Hybrid,Automatic,3.2,15741
i3,Electric Hatchback,Petrol,Automatic,3.8,98588
X6,SUV-Coupe,Petrol,Automatic,3.3,93725
X5,SUV,Electric,Manual,4.5,170194
X6,SUV-Coupe,Electric,Manual,2.8,116208
